web_scraper_order,web_scraper_start_url,pagination,comment,date,data6,data7
"1773397937-881","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Quá tệ. Lần sau ghi mô tả sản phẩm là dùng đến đâu xoáy đến đấy để khách hàng còn biết. Mô tả ở cuối thì ai nhìn thấy gì. Vứt luôn thỏi son đi. Bực cả mình. Brand lớn mà nên không cần khách hàng.","2025-11-24 18:10 | Phân loại hàng: RAIN OR SHINE-Pha lê","Phân loại hàng: RAIN OR SHINE-Pha lê","Son bóng dưỡng môi bắt sáng 3CE Shine Reflector (Son vặn 1 chiều)"
"1773397937-882","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Mua 3ce mà có cả hãng khác hàng fake rút kinh nghiệm nhìn trang uy tín mà giao cho ngta hàng đểu","2025-11-24 17:32 | Phân loại hàng: #34 Rose Glaze","Phân loại hàng: #34 Rose Glaze","Son bóng dưỡng môi 3CE Glazy Lip Glow"
"1773397937-883","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-11-24 13:29","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-884","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","màu xấu, tệ","2025-11-24 13:29 | Phân loại hàng: HUSH RED-Đỏ mâm xôi","Phân loại hàng: HUSH RED-Đỏ mâm xôi","Son len mịn lì nịnh môi 3CE Cashmere Hug Lipstick"
"1773397937-885","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son giao về bị gãy","2025-11-24 12:05 | Phân loại hàng: 10-Already Booke","Phân loại hàng: 10-Already Booke","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-886","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Xấu ạ","2025-11-24 10:34","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-887","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","","2025-11-24 02:55","","(GWP) Túi Mini Đựng Son 3CE Lipstick Holder"
"1773397937-888","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Quá tởm đổ tè le hoản trả mà ko cho","2025-11-24 02:55 | Phân loại hàng: Tông Ấm - W05","Phân loại hàng: Tông Ấm - W05","Phấn Nước Trang Điểm 3CE Fitting Mesh Cover Cushion"
"1773397937-889","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Chưa xài đã gãy chán gì đâu. Son chất đẹp mà xu ghê","2025-11-23 23:46 | Phân loại hàng: 10-Already Booke","Phân loại hàng: 10-Already Booke","Son Sáp Màu Mịn Lì 3CE Sketch Stick"
"1773397937-890","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Sản phẩm không giống như màu mô tả","2025-11-23 11:59 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-891","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Không biết hãng sản xuất ở đau thấy ở hàn quốc và china khó phân biệt thật giả","2025-11-22 23:26 | Phân loại hàng: Sepia-Đỏ táo trầm","Phân loại hàng: Sepia-Đỏ táo trầm","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
"1773397937-892","https://shopee.vn/buyer/1363386527/rating?shop_id=1362679168","","Son dỡ tệ, màu son không giống quảng cáo,bôi lên môi không bám màu m","2025-11-22 12:06 | Phân loại hàng: Play Off-Đỏ cam","Phân loại hàng: Play Off-Đỏ cam","Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint"
